CLASS,CODE, URL,CRN,TYPE,SECTION,TIME,DAY,LOCATION,INSTRUCTOR
ENGL429,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/429,43200,Lecture-Discussion,1U,11:00AM - 12:15PM,TR,150 English Building,"Pollock, A"
ENGL431,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/431,32164,Lecture-Discussion,1G,11:00AM - 11:50AM,MWF,140 Henry Administration Bldg,"Underwood, W"
ENGL431,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/431,32161,Lecture-Discussion,1U,11:00AM - 11:50AM,MWF,140 Henry Administration Bldg,"Underwood, W"
ENGL460,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/460,59138,Online,OLG,ARRANGED,n.a,n.a,"Wright, D"
ENGL460,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/460,59137,Online,OLU,ARRANGED,n.a,n.a,"Wright, D"
ENGL462,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/462,32235,Lecture-Discussion,1G,09:30AM - 10:45AM,TR,131 English Building,"Hansen, J"
ENGL462,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/462,32233,Lecture-Discussion,1U,09:30AM - 10:45AM,TR,131 English Building,"Hansen, J"
ENGL467,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/467,70524,Lecture-Discussion,A,12:30PM - 01:50PM,TR,337 National Soybean Res Ctr,"Kanter, R"
ENGL475,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/475,43335,Lecture-Discussion,1G,09:30AM - 10:45AM,TR,127 English Building,"Oh, R"
ENGL475,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/475,43334,Lecture-Discussion,1U,09:30AM - 10:45AM,TR,127 English Building,"Oh, R"
ENGL481,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/481,44165,Lecture-Discussion,1G,11:00AM - 11:50AM,MWF,127 English Building,"Mortensen, P"
ENGL481,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/481,39291,Lecture-Discussion,1U,11:00AM - 11:50AM,MWF,127 English Building,"Mortensen, P"
ENGL498,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/498,67479,Lecture-Discussion,A,02:00PM - 03:20PM,TR,309 English Building,"Jones, J"
ENGL504,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/504,43352,Lecture-Discussion,A,01:00PM - 04:50PM,T,336 Gregory Hall,"Turnock, J"
ENGL514,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/514,39309,Lecture-Discussion,E,01:00PM - 03:50PM,W,309 English Building,"Trilling, R"
ENGL527,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/527,32265,Lecture-Discussion,R,01:00PM - 03:50PM,R,125 English Building,"Markley, R"
